Admin1,Facility name,Facility type,Lat,Long
Addis Ababa,Addis Ketema Hospital 1,Hospital,9.0256,38.7258
Addis Ababa,Addis Ketema Hospital 2,Hospital,9.0328,38.7228
Addis Ababa,Addis Ketema Hospital 3,Hospital,9.0358,38.7257
Addis Ababa,Addis Ketema Hospital 4,Hospital,9.0295,38.7355
Addis Ababa,Akaki Kaliti Hospital,Hospital,8.9512,38.7676
Addis Ababa,Arada Hospital 1,Hospital,9.0409,38.747
Addis Ababa,Arada Hospital 2,Hospital,9.0371,38.7466
Addis Ababa,Arada Hospital 3,Hospital,9.0392,38.7622
Addis Ababa,Arada Hospital 4,Hospital,9.0346,38.7632
Addis Ababa,Arada Hospital 5,Hospital,9.033,38.7698
Addis Ababa,Bole Hospital 1,Hospital,9.0006,38.7799
Addis Ababa,Bole Hospital 2,Hospital,9.0089,38.7858
Addis Ababa,Bole Hospital 3,Hospital,9.0114,38.79
Addis Ababa,Bole Hospital 4,Hospital,9.0059,38.7908
Addis Ababa,Bole Hospital 5,Hospital,9.0154,38.8122
Addis Ababa,Bole Hospital 6,Hospital,8.9857,38.796
Addis Ababa,Bole Hospital 7,Hospital,8.9903,38.7978
Addis Ababa,Bole Hospital 8,Hospital,8.991,38.8162
Addis Ababa,Gulele Hospital 1,Hospital,9.0446,38.7309
Addis Ababa,Gulele Hospital 2,Hospital,9.0712,38.7604
Addis Ababa,Kirkos Hospital 1,Hospital,9.0147,38.7595
Addis Ababa,Kirkos Hospital 2,Hospital,9.0115,38.7586
Addis Ababa,Kirkos Hospital 3,Hospital,8.9974,38.77
Addis Ababa,Kolfe Keraniyo Hospital 1,Hospital,9.0549,38.713
Addis Ababa,Kolfe Keraniyo Hospital 2,Hospital,9.001,38.696
Addis Ababa,Kolfe Keraniyo Hospital 3,Hospital,8.9814,38.7144
Addis Ababa,Lideta Hospital 1,Hospital,9.0017,38.7181
Addis Ababa,Lideta Hospital 2,Hospital,8.9915,38.719
Addis Ababa,Lideta Hospital 3,Hospital,9.0082,38.7413
Addis Ababa,Lideta Hospital 4,Hospital,9.0076,38.743
Addis Ababa,Lideta Hospital 5,Hospital,9.0163,38.7514
Addis Ababa,Yeka Hospital 1,Hospital,9.0344,38.7782
Afar,Dubti Hospital,Hospital,11.7244,41.094
Afar,National Hospital,National Hospital,9.2543,40.1558
Afar,Sedia Fagie Hospital,Hospital,12.0974,40.566
Amhara,Alem Ketema Enat Hospital,Hospital,10.0581,38.9892
